Destination Port,Flow IAT Mean,Flow IAT Max,Bwd Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Average Packet Size,Fwd Header Length,Packet Length Variance,Total Length of Fwd Packets,Label
53,7028.666666666666,21084.0,94.84966328369534,32.0,32.0,88.0,40,2764.8,64.0,0
53,6956.666666666666,20866.0,95.831336847149,41.0,41.0,59.25,40,76.8,82.0,0
53,15416.0,46246.0,43.245113302196856,41.0,41.0,59.25,40,76.8,82.0,0
53,6926.333333333334,20777.0,96.25102266711583,45.0,45.0,70.25,40,235.2,90.0,0
53,15936.666666666668,47808.0,41.8322526668061,45.0,45.0,70.25,40,235.2,90.0,0
53,7009.666666666666,21027.0,95.10675733510868,31.0,31.0,62.25,40,662.7,62.0,0
53,6914.666666666666,20743.0,96.41342074816816,35.0,35.0,51.75,40,76.8,70.0,0
53,6968.333333333334,20903.0,95.67089213106912,35.0,35.0,57.75,40,235.2,70.0,0
53,15503.0,46507.0,43.0024296372745,35.0,35.0,57.75,40,235.2,70.0,0
53,15147.0,45435.0,44.01311590854076,44.0,44.0,97.0,64,2116.8,88.0,0
53,7000.333333333334,20996.0,95.23356030665208,32.0,32.0,88.0,40,2764.8,64.0,0
53,6862.666666666666,20582.0,97.14396735962696,41.0,41.0,59.25,40,76.8,82.0,0
53,6864.0,20587.0,97.12509712509711,36.0,36.0,63.5,40,410.7,72.0,0
53,15732.666666666668,47194.0,42.37467689308869,36.0,36.0,63.5,40,410.7,72.0,0
53,6912.0,20731.0,96.4506172839506,40.0,40.0,58.0,40,76.8,80.0,0
53,6902.0,20700.0,96.59036028204386,40.0,40.0,80.0,40,1080.0,80.0,0
53,6854.666666666666,20559.0,97.25734292939116,29.0,29.0,63.25,40,874.8,58.0,0
53,6855.333333333334,20561.0,97.24788485850432,42.0,42.0,66.5,40,235.2,84.0,0
53,15442.0,46321.0,43.17230065190174,42.0,42.0,66.5,40,235.2,84.0,0
53,6907.666666666666,20717.0,96.51112290691503,43.0,43.0,80.75,40,874.8,86.0,0
53,6972.666666666666,20913.0,95.61143512764129,42.0,42.0,60.5,64,76.8,84.0,0
53,6887.333333333334,20656.0,96.79605072113058,47.0,47.0,86.75,64,940.8,94.0,0
53,6968.333333333334,20899.0,95.67089213106912,38.0,38.0,73.5,64,811.2,76.0,0
53,6925.666666666666,20773.0,96.26028781826058,37.0,37.0,74.25,64,940.8,74.0,0
53,6877.666666666666,20627.0,96.93209906460524,44.0,44.0,63.0,64,76.8,88.0,0
53,6944.333333333334,20828.0,96.0015360245764,44.0,44.0,63.0,64,76.8,88.0,0
53,6944.666666666666,20831.0,95.99692809830086,43.0,43.0,61.75,64,76.8,86.0,0
53,6879.666666666666,20633.0,96.90391976355444,43.0,43.0,67.75,40,235.2,86.0,0
53,6889.666666666666,20664.0,96.76326866321544,31.0,31.0,62.25,40,662.7,62.0,0
53,6882.0,20642.0,96.87106461300009,35.0,35.0,51.75,64,76.8,70.0,0
53,6915.333333333334,20743.0,96.40412609659693,32.0,32.0,48.0,64,76.8,64.0,0
53,6931.666666666666,20792.0,96.1769656167348,32.0,32.0,48.0,64,76.8,64.0,0
53,6950.0,20846.0,95.92326139088728,47.0,47.0,86.75,64,940.8,94.0,0
53,6955.0,20860.0,95.85430146177808,32.0,32.0,48.0,64,76.8,64.0,0
53,6959.0,20872.0,95.7992048665996,32.0,32.0,48.0,64,76.8,64.0,0
53,6943.333333333334,20826.0,96.01536245799328,47.0,47.0,86.75,64,940.8,94.0,0
53,6955.333333333334,20860.0,95.84970765839164,32.0,32.0,54.0,40,235.2,64.0,0
53,6899.666666666666,20695.0,96.62302526692112,32.0,32.0,54.0,40,235.2,64.0,0
53,6934.333333333334,20798.0,96.13997981060425,37.0,37.0,74.25,40,940.8,74.0,0
53,6900.0,20696.0,96.61835748792272,38.0,38.0,75.5,40,940.8,76.0,0
53,6955.0,20859.0,95.85430146177808,37.0,37.0,74.25,40,940.8,74.0,0
53,6973.0,20913.0,95.60686457287632,43.0,43.0,83.25,64,1044.3,86.0,0
53,6941.333333333334,20818.0,96.04302727621976,45.0,45.0,76.75,64,504.3,90.0,0
53,6915.666666666666,20743.0,96.399479442811,45.0,45.0,76.75,64,504.3,90.0,0
53,6910.666666666666,20725.0,96.46922631680496,43.0,43.0,83.25,64,1044.3,86.0,0
53,6909.333333333334,20726.0,96.487842531841,50.0,50.0,70.5,64,76.8,100.0,0
53,6944.333333333334,20828.0,96.0015360245764,45.0,45.0,76.75,64,504.3,90.0,0
53,6875.0,20619.0,96.96969696969695,50.0,50.0,76.5,40,235.2,100.0,0
53,6902.666666666666,20703.0,96.58103148541626,29.0,29.0,63.25,40,874.8,58.0,0
53,6902.0,20704.0,96.59036028204386,29.0,29.0,63.25,40,874.8,58.0,0
53,6877.666666666666,20627.0,96.93209906460524,29.0,29.0,63.25,64,874.8,58.0,0
53,6888.0,20659.0,96.78668215253582,31.0,31.0,86.75,64,2764.8,62.0,0
53,6879.0,20634.0,96.9133110432718,42.0,42.0,66.5,64,235.2,84.0,0
